nodex,nodey,offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di,score
0,829,3.161,1.265,3.049,0.71,0.284,0.219,297,66,297,66,396,33,0
0,830,3.064,1.653,3.045,0.884,0.362,0.292,297,165,297,165,396,165,0
0,831,3.143,1.48,3.258,0.775,0.334,0.257,297,99,297,99,396,99,0
0,832,3.046,4.394,3.102,2.813,1.085,0.703,297,1221,297,1221,396,1023,0
0,833,3.149,1.905,3.186,1.009,0.426,0.303,297,231,297,231,396,264,0
0,834,3.066,4.649,3.215,2.646,1.126,0.749,297,1155,297,1155,396,1155,0
0,835,3.013,3.04,3.033,1.52,0.674,0.455,297,495,297,495,396,660,0
0,836,3.091,1.781,3.031,0.893,0.387,0.281,297,165,297,165,396,231,0
0,837,3.139,1.873,3.475,1.069,0.44,0.303,297,264,297,264,396,231,0
0,838,3.187,1.24,3.163,0.653,0.272,0.206,297,33,297,33,396,33,0
0,839,3.06,1.266,3.082,0.653,0.278,0.208,297,33,297,33,396,33,0
0,840,3.157,1.262,3.015,0.711,0.284,0.216,297,66,297,66,396,33,0
0,841,3.046,1.796,3.102,0.958,0.405,0.278,297,198,297,198,396,231,0
0,842,3.128,1.177,2.955,0.651,0.269,0.205,297,33,297,33,396,0,0
0,843,3.02,1.34,3.029,0.711,0.293,0.227,297,66,297,66,396,66,0
0,844,3.046,1.224,3.136,0.58,0.257,0.205,297,0,297,0,396,33,0
0,845,3.033,1.507,3.053,0.774,0.33,0.239,297,99,297,99,396,132,0
0,846,3.184,1.353,3.005,0.769,0.305,0.228,297,99,297,99,396,66,0
0,847,3.021,2.502,3.073,1.414,0.578,0.4,297,462,297,462,396,462,0
0,848,3.152,2.069,3.035,1.181,0.47,0.368,297,330,297,330,396,297,0
0,849,3.249,1.26,3.154,0.708,0.281,0.217,297,66,297,66,396,33,0
0,850,3.054,1.359,3.03,0.71,0.301,0.238,297,66,297,66,396,66,0
