offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di
0.344,0.927,0.346,0.709,0.234,0.104,66,66,66,66,66,66
0.34,0.52,0.344,0.556,0.148,0.078,66,33,66,33,66,0
0.401,0.711,0.345,0.595,0.181,0.079,66,33,66,33,66,33
0.627,1.896,0.632,1.184,0.351,0.179,66,165,66,165,66,99
0.35,1.194,0.357,0.984,0.317,0.153,66,132,66,132,66,99
0.35,1.035,0.346,1.005,0.285,0.154,66,132,66,132,66,66
0.624,1.069,0.345,1.624,0.294,0.178,66,132,66,132,66,66
0.351,0.777,0.347,0.571,0.125,0.084,66,33,66,33,66,66
0.359,1.014,0.349,0.846,0.284,0.144,66,99,66,99,66,66
0.377,2.049,0.359,1.128,0.463,0.302,66,165,66,165,66,231
0.351,1.913,0.351,0.848,0.409,0.105,66,99,66,99,66,99
0.4,1.01,0.355,0.857,0.297,0.128,66,99,66,99,66,66
0.652,1.119,0.72,0.728,0.263,0.128,66,66,66,66,66,99
0.34,0.701,0.347,0.57,0.178,0.077,66,33,66,33,66,33
0.364,0.745,0.385,0.678,0.215,0.078,66,33,66,33,66,33
0.35,1.408,0.356,0.848,0.32,0.178,66,99,66,99,66,132
0.422,0.579,0.355,0.713,0.121,0.058,66,66,66,66,66,33
0.321,0.523,0.321,0.461,0.107,0.096,66,33,66,33,66,33
0.349,0.822,0.383,0.712,0.208,0.104,66,66,66,66,66,33
0.345,0.79,0.352,0.682,0.227,0.11,66,66,66,66,66,33
0.329,0.494,0.332,0.47,0.118,0.072,66,66,66,66,66,33
0.318,1.697,0.337,0.374,0.287,0.05,66,33,66,33,66,33
0.377,0.535,0.427,0.373,0.15,0.098,66,33,66,33,66,0
0.347,0.705,0.348,0.573,0.18,0.078,66,33,66,33,66,33
0.339,1.228,0.352,0.573,0.105,0.044,66,33,66,33,66,33
0.324,0.567,0.583,0.477,0.166,0.058,66,66,66,66,66,33
0.467,0.76,0.43,0.465,0.181,0.079,66,33,66,33,66,33
0.372,4.128,0.374,4.004,1.425,0.397,396,297,396,297,330,198
0.75,4.126,0.344,2.309,1.023,0.687,396,264,396,264,330,165
0.376,2.456,0.364,2.066,0.414,0.231,396,66,396,66,330,33
0.343,3.989,0.496,2.915,0.73,0.345,396,198,396,198,330,231
0.387,3.309,0.398,2.674,0.7,0.484,396,165,396,165,330,132
0.532,2.103,0.657,1.567,0.396,0.23,396,33,396,33,330,33
0.354,3.426,0.344,2.038,0.956,0.614,396,264,396,264,330,297
0.389,3.521,0.366,2.027,0.555,0.317,396,264,396,264,330,132
0.345,3.727,0.361,2.371,0.935,0.53,396,165,396,165,330,198
0.391,2.495,0.367,2.239,0.48,0.283,396,99,396,99,330,99
0.364,3.342,0.343,1.994,0.987,0.599,396,264,396,264,330,165
0.376,4.386,0.373,3.391,1.126,0.36,396,264,396,264,330,264
0.372,1.679,0.37,1.34,0.395,0.216,396,33,396,33,330,33
0.336,3.749,0.337,1.963,0.544,0.318,396,198,396,198,330,165
0.372,5.422,0.383,3.244,1.067,0.595,396,693,396,693,330,726
0.358,2.308,0.338,2.026,0.537,0.513,396,264,396,264,330,99
0.454,2.693,0.421,2.768,0.638,0.401,396,330,396,330,330,231
0.346,2.901,0.859,2.977,0.654,0.398,396,297,396,297,330,297
0.364,3.054,0.398,2.108,0.768,0.452,396,66,396,66,330,99
0.375,4.102,0.365,2.928,1.038,0.664,396,264,396,264,330,231
0.365,2.858,0.424,3.498,0.85,0.479,396,99,396,99,330,132
0.381,3.606,0.371,2.025,0.905,0.569,396,165,396,165,330,165
0.366,2.485,0.365,2.096,0.701,0.232,396,66,396,66,330,33
1.38,3.721,0.346,1.783,0.91,0.53,396,132,396,132,330,198
0.382,3.515,0.374,2.239,0.898,0.499,396,99,396,99,330,165
0.374,4.805,0.37,2.57,0.847,1.581,396,165,396,165,330,165
0.393,2.937,0.363,4.155,0.567,0.591,396,165,396,165,330,132
0.358,3.615,0.364,1.706,0.449,0.264,396,66,396,66,330,99
0.594,3.602,0.401,2.983,0.966,0.643,396,264,396,264,330,132
0.411,4.417,0.402,2.934,1.128,0.68,396,264,396,264,330,264
0.489,1.955,0.346,2.312,0.425,0.282,396,33,396,33,330,66
0.367,3.494,0.415,2.426,0.746,0.402,396,66,396,66,330,66
0.377,4.056,0.396,2.855,1.041,0.605,396,264,396,264,330,198
0.391,3.392,0.368,2.483,0.856,0.517,396,132,396,132,330,132
0.633,3.089,0.386,2.678,0.786,0.434,396,231,396,231,330,198
0.288,2.068,0.283,1.645,0.539,0.295,396,33,396,33,330,33
0.301,2.793,0.297,1.865,0.725,0.399,396,132,396,132,330,165
0.305,2.59,0.305,1.764,0.645,0.395,396,99,396,99,330,132
0.283,2.351,0.28,1.539,0.689,0.297,396,33,396,33,330,33
0.311,3.833,0.299,2.842,1.038,0.595,396,429,396,429,330,330
0.316,2.425,0.288,1.767,0.63,0.354,396,99,396,99,330,99
0.283,2.489,0.287,1.664,0.606,0.335,396,66,396,66,330,99
0.303,2.673,0.284,2.408,0.754,0.479,396,297,396,297,330,99
0.315,2.925,0.284,2.779,0.845,0.526,396,396,396,396,330,132
0.289,2.638,0.286,1.867,0.673,0.375,396,132,396,132,330,132
0.3,3.395,0.304,2.511,0.883,0.497,396,330,396,330,330,264
0.298,2.68,0.293,2.083,0.715,0.418,396,198,396,198,330,132
0.283,2.145,0.288,1.533,0.536,0.294,396,33,396,33,330,33
0.303,3.272,0.301,2.078,0.81,0.476,396,198,396,198,330,264
0.281,2.235,0.282,1.542,0.563,0.345,396,33,396,33,330,66
0.284,1.906,0.277,1.525,0.51,0.295,396,33,396,33,330,0
0.287,2.942,0.306,1.97,0.734,0.434,396,165,396,165,330,198
